公司名称,公司编码,公司类型
圆通速递,yuantong,国内运输商
申通快递,shentong,国内运输商
中通快递,zhongtong,国内运输商
极兔速递,jtexpress,国内运输商
韵达快递,yunda,国内运输商
邮政快递包裹,youzhengguonei,国际邮政
顺丰速运,shunfeng,国际运输商
EMS,ems,国际邮政
京东物流,jd,国内运输商
邮政标准快递,youzhengbk,国内运输商
德邦快递,debangkuaidi,国内运输商
顺丰快运,shunfengkuaiyun,国内运输商
丹鸟,danniao,国内运输商
德邦,debangwuliu,国内运输商
邮政电商标快,youzhengdsbk,国内运输商
中通快运,zhongtongkuaiyun,国内运输商
联昊通,lianhaowuliu,国内运输商
安能快运,annengwuliu,国内运输商
京东快运,jingdongkuaiyun,国内运输商
速必达,subida,国内运输商
跨越速运,kuayue,国内运输商
顺心捷达,sxjdfreight,国内运输商
速尔快递,suer,国内运输商
国际包裹,youzhengguoji,国际运输商
百世快运,baishiwuliu,国内运输商
韵达快运,yundakuaiyun,国内运输商
壹米滴答,yimidida,国内运输商
宅急送,zhaijisong,国内运输商
中铁快运,ztky,国内运输商
日日顺物流,rrs,国内运输商
优速,youshuwuliu,国内运输商
百世快递,huitongkuaidi,国内运输商
UPS-全球件,upsen,国际运输商
安迅物流,anxl,国内运输商
加运美,jiayunmeiwuliu,国内运输商
易客满,ecmscn,国际运输商
中通国际,zhongtongguoji,国际运输商
安得物流,annto,国内运输商
信丰物流,xinfengwuliu,国内运输商
DHL-中国件,dhl,国际运输商
USPS,usps,国际邮政
京广速递,jinguangsudikuaijian,国内运输商
UPS,ups,国际运输商
FedEx-国际件,fedex,国际运输商
DHL-全球件,dhlen,国际运输商
平安达腾飞,pingandatengfei,国内运输商
速腾快递,suteng,国内运输商
同城快寄,shpost,国内运输商
Fedex-国际件-中文,fedexcn,国际运输商
递四方,disifang,国内运输商
汇森速运,huisenky,国内运输商
宇鑫物流,yuxinwuliu,国内运输商
海信物流,savor,国内运输商
YunExpress,yuntrack,国际运输商
特急送,lntjs,国内运输商
丰网速运,fengwang,国内运输商
苏宁物流,suning,国内运输商
拉火速运,lahuoex,国内运输商
Titan泰坦国际速递,timelytitan,国际运输商
安能快递,ane66,国内运输商
EWE全球快递,ewe,国际运输商
TNT,tnt,国际运输商
中国邮政（CHINA POST）,chinapost,国际邮政
EMS-国际件,emsguoji,国际邮政
宏递快运,hd,国内运输商
雪域易购,qhxyyg,国内运输商
威盛快递,wherexpess,国内运输商
環海快運,hkglobalsea,国内运输商
世华通物流,szshihuatong56,国内运输商
盛丰物流,sfwl,国内运输商
顺昌国际,shunchangguoji,国内运输商
嘉里大通,jialidatong,国内运输商
中远e环球,cosco,国际运输商
转运四方,zhuanyunsifang,国际运输商
申通国际,stosolution,国际运输商
速通物流,sut56,国内运输商
DPD,dpd,国际运输商
袋鼠速递,xjdaishu,国内运输商
天地华宇,tiandihuayu,国内运输商
明通国际快递,tnjex,国际运输商
顺丰冷链,shunfenglengyun,国内运输商
铁中快运,tzky,国内运输商
燕文物流,yw56,国际运输商
富吉速运,fujisuyun,国内运输商
新杰物流,sunjex,国内运输商
景光物流,jgwl,国内运输商
TNT-全球件,tnten,国际运输商
百腾物流,baitengwuliu,国内运输商
速邮达,suyoda,国内运输商
OnTrac,ontrac,国际运输商
联运通物流,szuem,国内运输商
盛辉物流,shenghuiwuliu,国内运输商
荣庆物流,rokin,国内运输商
佐川急便,sagawa,国际运输商
新顺丰（NSF）,nsf,国际运输商
澳邮中国快运,auexpress,国际运输商
SYNSHIP快递,synship,国际运输商
重庆星程快递,cqxingcheng,国内运输商
青岛安捷快递,anjiekuaidi,国内运输商
EMS包裹,emsbg,国际邮政
彪记快递,biaojikuaidi,国内运输商
AAE-中国件,aae,国际运输商
源安达,yuananda,国内运输商
海外环球,haiwaihuanqiu,国际运输商
DPD UK,dpduk,国际运输商
鑫正一快递,zhengyikuaidi,国内运输商
GLS,gls,国际运输商
美快国际物流,meiquick,国际运输商
诚和通,cht361,国内运输商
日本（Japan Post）,japanposten,国际邮政
四季安物流,sja56,国内运输商
中通冷链,ztocc,国内运输商
金大物流,jindawuliu,国内运输商
深圳邮政,szyouzheng,国际邮政
方舟速递,arkexpress,国际运输商
UBI Australia,gotoubi,国际运输商
圆通国际,yuantongguoji,国际运输商
三志物流,sanzhi56,国内运输商
OCS,ocs,国际运输商
日本郵便,japanpost,国际运输商
佰纳博通,viechina,国内运输商
yundaasia,yundaasia,国际运输商
安鲜达,exfresh,国内运输商
斑马物流,banma,国内运输商
芝麻开门,zhimakaimen,国内运输商
安捷物流,anjie88,国内运输商
凤凰快递,fenghuangkuaidi,国内运输商
英国邮政大包EMS,parcelforcecn,国际邮政
Aramex,aramex,国际运输商
Hermes,hermes,国际运输商
敏華物流,manwah,国内运输商
Superb Express,superb,国际运输商
天天快递,tiantian,国内运输商
聚盟共建,jumstc,国内运输商
中铁飞豹,zhongtiewuliu,国内运输商
出口易,chukou1,国际运输商
顺丰-繁体,shunfenghk,国内运输商
宅急便,zhaijibian,国际运输商
加拿大(Canada Post),canpost,国际邮政
泰国中通CTO,ctoexp,国际运输商
中速快递,zhongsukuaidi,国内运输商
佳吉快运,jiajiwuliu,国内运输商
DHL-德国件（DHL Deutschland）,dhlde,国际运输商
日日顺智慧物联,gooday365,国内运输商
邦泰快运,btexpress,国内运输商
时安达速递,goex,国内运输商
中集冷云,cccc58,国内运输商
湘粤华通,smwfloor,国内运输商
叁虎物流,sanhuwuliu,国内运输商
泰进物流,taijin,国内运输商
无忧物流,aliexpress,国内运输商
富腾达国际货运,ftd,国际运输商
D速快递,dsukuaidi,国际运输商
新西兰中通,nzzto,国际运输商
恒路物流,hengluwuliu,国内运输商
联邦快递,lianbangkuaidi,国内运输商
柬埔寨中通,khzto,国内运输商
万家物流,wanjiawuliu,国内运输商
J&T Express 新加坡,jtexpresssg,国际运输商
全联速运,guexp,国内运输商
德坤物流,dekuncn,国内运输商
Jingle Express,jingleexpressx,国际运输商
大田物流,datianwuliu,国内运输商
天鸽快运,hzdr,国内运输商
家家通快递,newsway,国内运输商
远成物流,yuanchengwuliu,国内运输商
洋包裹,yangbaoguo,国际运输商
中远快运,zy100,国内运输商
华翰物流,huahanwuliu,国际运输商
德国优拜物流,ubuy,国际运输商
全一快递,quanyikuaidi,国内运输商
高铁快运,gaotieex,国内运输商
科捷物流,kejie,国内运输商
佳怡物流,jiayiwuliu,国内运输商
联合速递,lhexpressus,国际运输商
商壹国际物流,com1express,国际运输商
高田物流,gaotian56,国内运输商
新元国际,xynyc,国际运输商
澳大利亚(Australia Post),auspost,国际邮政
粤九通物流,yuejiutong,国内运输商
嘉贤物流,jiaxianwuliu,国内运输商
美七国际快递,usa7ex,国内运输商
亚洲顺物流,yzswuliu,国际运输商
COE,coe,国际运输商
澳天速运,aotsd,国际运输商
顺丰-荷兰,shunfengnl,国际运输商
耀奇物流,yaoqi,国内运输商
成都东骏物流,dongjun,国内运输商
黑猫宅急便,tcat,国际运输商
百米快运,100mexpress,国内运输商
DPD Germany,dpdgermany,国际运输商
众邮快递,zhongyouex,国内运输商
CJ物流,doortodoor,国际运输商
达发物流,dfwl,国内运输商
EMS物流,emswuliu,国内运输商
澳德物流,auod,国际运输商
三真驿道,zlink,国内运输商
鸿泰物流,hnht56,国内运输商
EMS-国际件-英文,emsinten,国际邮政
城晓国际快递,ckeex,国际运输商
如家国际快递,homecourier,国际运输商
神骏物流,shenjun,国内运输商
贰仟家物流,erqianjia56,国内运输商
中邮物流,zhongyouwuliu,国内运输商
转运中国,uszcn,国际运输商
贝业物流,boyol,国内运输商
签收快递,signedexpress,国内运输商
大道物流,dadaoex,国内运输商
微特派,weitepai,国内运输商
荷兰邮政(PostNL international registered mail),postnl,国际邮政
南天物流,nantianwuliu,国内运输商
美乐维冷链物流,mlw,国内运输商
中迅三方,cd3fwl,国内运输商
泰嘉物流,takesend,国内运输商
鼎润物流,la911,国内运输商
 Buffalo,buffaloex,国内运输商
货拉拉物流,huolalawuliu,国内运输商
实利配送,shiligyl,国内运输商
原飞航,yuanfeihangwuliu,国内运输商
联合速运,unitedex,国内运输商
快捷快物流,gdkjk56,国内运输商
合众速递(UCS）,ucs,国际运输商
星光大道,xgdd56,国内运输商
能达速递,ganzhongnengda,国内运输商
金岸物流,jinan,国内运输商
汇峰物流,huif56,国内运输商
南方传媒物流,ndwl,国内运输商
顺达快递,sundarexpress,国内运输商
快捷速递,kuaijiesudi,国内运输商
MoreLink,morelink56,国内运输商
颿达国际快递,fardarww,国际运输商
中邮速递,wondersyd,国内运输商
美国申通,stoexpress,国际运输商
丽迅物流,lesoon,国内运输商
丰通快运,ftky365,国内运输商
极地快递,polarexpress,国内运输商
成都捷信安达物流,jxad56,国内运输商
TNT Italy,tntitaly,国际运输商
优邦速运,ubonex,国内运输商
三态速递,santaisudi,国内运输商
顺捷美中速递,passerbyaexpress,国内运输商
速递中国,sendtochina,国际运输商
百事亨通,bsht,国内运输商
FedEx-美国件,fedexus,国际运输商
汇达物流,hdcexpress,国内运输商
车联天下,szclyc,国内运输商
乐天速递,ltexp,国内运输商
领送送,lingsong,国内运输商
"继达物流	",gdjida56,国内运输商
申通新西兰,stonewzealand,国际运输商
广东邮政,guangdongyouzhengwuliu,国际邮政
安达速递,adapost,国内运输商
秦邦快运,qbexpress,国内运输商
泛球物流,fanqiu,国内运输商
天马迅达,tianma,国内运输商
快捷物流,kuaijiewuliu,国内运输商
BRT,brt,国际运输商
BOXC,boxc,国际运输商
昌宇国际,changwooair,国际运输商
豪翔物流,haoxiangwuliu,国内运输商
三象速递,sxexpress,国内运输商
TST速运通,tstexp,国际运输商
世通物流,worldex,国际运输商
宇佳物流,yujiawl,国内运输商
顺捷达,shunjieda,国内运输商
CNE,cnexps,国际运输商
迅达速递,xdexpress,国内运输商
速派快递,fastgoexpress,国内运输商
百世国际,baishiguoji,国际运输商
E速达,exsuda,国内运输商
优优速递,youyou,国内运输商
转瞬达集运,zsda56,国内运输商
1688国际物流,buyer1688,国际运输商
百世云配,baishiyp,国内运输商
"奔力物流	",blex56,国内运输商
秦岭智能速运,qinling,国内运输商
天翼快递,tykd,国内运输商
加拿大龙行速运,longcps,国内运输商
Xlobo贝海国际,xlobo,国际运输商
疯狂快递,crazyexpress,国内运输商
法国(La Poste),csuivi,国际邮政
锦程快递,hrex,国内运输商
皇家物流,pfcexpress,国内运输商
中环快递,zhonghuan,国内运输商
MCIH国际快递,mcih,国内运输商
法国小包（colissimo）,colissimo,国际运输商
全信通快递,quanxintong,国内运输商
佰麒快递,beckygo,国内运输商
美国快递,meiguokuaidi,国际运输商
一智通,1ziton,国内运输商
畅邮速递,changyousudi,国内运输商
黄马甲,huangmajia,国内运输商
盈通物流,jisu,国内运输商
百福东方,baifudongfang,国际运输商
速舟物流,cnspeedster,国内运输商
明达国际速递,tmwexpress,国际运输商
远盾物流,yuandun,国内运输商
想乐送,leshines,国内运输商
airpak expresss,airpak,国际运输商
北京EMS,bjemstckj,国际邮政
次晨达物流,ccd,国内运输商
EFSPOST,efspost,国内运输商
天天欧洲物流,ttkeurope,国际运输商
中邮电商,chinapostcb,国内运输商
中华邮政,postserv,国际邮政
民航快递,minghangkuaidi,国内运输商
英国大包、EMS（Parcel Force）,parcelforce,国际邮政
新易泰,lnet,国内运输商
TiKi,tiki,国际运输商
顺友物流,sypost,国际运输商
一速递,oneexpress,国内运输商
鑫宸物流,cdxinchen56,国内运输商
YDH,ydhex,国内运输商
嘉诚速达,jcsuda,国内运输商
顺捷丰达,shunjiefengda,国内运输商
TNT Australia,tntau,国际运输商
JDIEX,jdiex,国际运输商
春风物流,spring56,国内运输商
易境达国际物流,uscbexpress,国际运输商
美通,valueway,国内运输商
品骏快递,pjbest,国内运输商
全峰快递,quanfengkuaidi,国内运输商
耀飞同城快递,yaofeikuaidi,国内运输商
传喜物流,chuanxiwuliu,国内运输商
泰国138国际物流,sd138,国际运输商
SGXpress,sgxpress,国际运输商
长吉物流,cjqy,国内运输商
九曳供应链,jiuyescm,国内运输商
DPEX,dpex,国际运输商
泛捷国际速递,epanex,国际运输商
汇通天下物流,httx56,国内运输商
中电华远物流,hywuliu,国内运输商
承诺达,ytchengnuoda,国内运输商
安信达,anxindakuaixi,国内运输商
极兔国际,jet,国际运输商
考拉速递,koalaexp,国内运输商
明亮物流,mingliangwuliu,国内运输商
力展物流,lizhan,国内运输商
光线速递,gxwl,国内运输商
中国香港(HongKong Post),hkpost,国际邮政
长江国际速递,changjiang,国际运输商
澳洲飞跃物流,rlgaus,国际运输商
万家通急送,wanjiatong,国内运输商
路港易通,bjlgyt,国内运输商
威时沛运货运,wtdchina,国内运输商
远成快运,ycgky,国内运输商
极兔快递埃及站,jtexpresseg,国际运输商
速达通,sdto,国内运输商
红马甲物流,sxhongmajia,国内运输商
黑猫同城送,ynztsy,国内运输商
邮邦国际,youban,国际运输商
EFS Post（平安快递）,efs,国际邮政
程光快递,flyway,国际运输商
广州安能聚创物流,gzanjcwl,国内运输商
郑州速捷,sujievip,国内运输商
中健云康,concare,国内运输商
锋鸟物流,beebird,国内运输商
城市映急,city56,国内运输商
直布罗陀[英国]( Royal Gibraltar Post),gibraltar,国际邮政
万家康物流,wjkwl,国内运输商
A2U速递,a2u,国际运输商
安敏物流,anmin56,国内运输商
极速达物流,jsdky,国内运输商
卓实快运,zhuoshikuaiyun,国内运输商
华欣物流,chinastarlogistics,国内运输商
意大利(Poste Italiane),italiane,国际邮政
佳成快递 ,jiacheng,国内运输商
快卡,kuaika,国内运输商
中融泰隆,zrtl,国内运输商
云邮跨境快递,hkems,国际运输商
印度尼西亚EMS(Pos Indonesia-EMS),indonesia,国际邮政
货运皇,kingfreight,国际运输商
日日顺快线,rrskx,国内运输商
商桥物流,shangqiao56,国内运输商
佳辰国际速递,jiachenexpress,国际运输商
全球速递,pdstow,国际运输商
瑞士(Swiss Post),swisspost,国际邮政
鸢速货运,yuansuhy,国内运输商
飞力士物流,flysman,国内运输商
韩国邮政,koreapostcn,国际邮政
优速通达,yousutongda,国内运输商
西班牙(Correos de Espa?a),correosdees,国际邮政
EMS-英文,emsen,国际邮政
"英国(大包,EMS)",england,国际邮政
行云物流,xyb2b,国际运输商
中途速递,ztcce,国内运输商
法国大包、EMS-法文（Chronopost France）,chronopostfra,国际邮政
法国大包、EMS-英文(Chronopost France),chronopostfren,国际邮政
迅速快递,xunsuexpress,国内运输商
